Parameters,Train/Test Split,Dataset Size,Train Accuracy,Test Accuracy
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'he', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8750445451379465,0.8780236292512541
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'xavier', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8632142199701299,0.8574849581830193
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'xavier', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8662574856897659,0.8522330872039832
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8583456337407896,0.8515490414293426
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'xavier', 'epochs': 50, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8646594165678421,0.8514366576426186
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'xavier', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8616929198822273,0.8413964662410983
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8576246877268346,0.8320320885148668
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 100, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8405061596255139,0.8264367618464078
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [50, 50, 50], 'initialization': 'random', 'epochs': 50, 'optimizer': 'sgd', 'learning_rate': 0.01, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l2', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8430925381864743,0.8244981545508921
"{'activation_func': 'sigmoid', 'hidden_layer_sizes': [20, 20, 20], 'initialization': 'he', 'epochs': 100, 'optimizer': 'adam', 'learning_rate': 0.05, 'lr_decay_type': 'time', 'lr_decrease': 0.5, 'lr_epoch_drop': 5, 'alpha': 0.01, 'regularization': 'l1', 'tolerance': 0.0001, 'tolerance_counter': 10, 'beta_1': 0.9, 'beta_2': 0.999, 'epsilon': 1e-08, 'random_state': 18}",75-25,"(8764, 26)",0.8423299927894403,0.8178913217000223
